"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"279","dobl","FM","NN","dobl",NA,"dobl",1,"dobl",NA,NA,NA,NA,NA,2
"280","'","SYM.Quot.Right","POS","'",NA,"'",1,"'",NA,NA,NA,NA,NA,2
"281","iu","FM","NN","iu",NA,"iu",1,"iu",NA,NA,NA,NA,NA,2
"282","eks","FM","VVZ","eks",NA,"eks",1,"eks",NA,NA,NA,NA,NA,2
"283","ex","FM","JJ","ex",NA,"ex",0,NA,"ex",NA,NA,NA,"ex",2
"284","ecs","FM","NNS","ecs",NA,"ecs",1,"ecs",NA,NA,"ecs",NA,"ecs",2
"285",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"286","dewyA","FM","NP","dewyA",NA,"dewyA",1,"dewyA",NA,NA,NA,NA,NA,2
"287","veis","FM","NP","veis",NA,"veis",1,"veis",NA,NA,NA,NA,NA,2
"288","]","SYM.Paren.Right","SYM","]",NA,"]",1,"]",NA,NA,NA,NA,NA,2
"289","oudi","FM","NN","oudi",NA,"oudi",1,"oudi",NA,NA,NA,NA,NA,2
"290","ecs","FM","NNS","ecs",NA,"ecs",1,"ecs",NA,NA,"ecs",NA,"ecs",2
"291","vei","FM","NP","vei",NA,"vei",1,"vei",NA,NA,NA,NA,NA,2
"292","Z","N.Reg.Nom.Sg.Masc","NP","Z",NA,"Z",0,NA,"Z",NA,NA,NA,"Z",2
"293","]","SYM.Paren.Right","SYM","]",NA,"]",1,"]",NA,NA,NA,NA,NA,2
"294","z","FM","SYM","z",NA,"z",0,NA,"z",NA,NA,NA,"z",2
"295","ſizzard","FM","NN","sizzard",NA,"sizzard",1,"sizzard",NA,NA,NA,NA,NA,2
"296","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",2
"297","zedi","FM","NN","zedi",NA,"zedi",1,"zedi",NA,NA,NA,NA,NA,2
"298","zedI","FM","NNS","zedI",NA,"zedI",1,"zedI",NA,NA,"zedI",NA,"zedI",2
"299","zedſ","FM","JJ","zeds",NA,"zeds",1,"zeds",NA,NA,NA,NA,NA,2
"300","zed","FM","NN","zed",NA,"zed",0,NA,"zed",NA,NA,NA,"zed",2
"301","*","SYM.Other.Aster","SYM","*",NA,"*",0,NA,"*",NA,NA,NA,"*",2
"302","The","FM","DT","The",NA,"The",0,NA,"The",NA,NA,NA,"The",2
"303","Spaniſh","FM","NP","Spanish",NA,"Spanish",0,NA,"Spanish",NA,NA,NA,"Spanish",2
"304","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",2
"305","Portugugſe","FM","NP","Portugugse",NA,"Portugugse",1,"Portugugse",NA,NA,NA,NA,NA,2
"306","Fongues","FM","NP","Fongues",NA,"Fongues",1,"Fongues",NA,NA,NA,NA,NA,2
"307","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",2
"308","no","PRO.Indef.Attr.-.Nom.*.*","DT","no",NA,"no",0,NA,"no",NA,NA,NA,"no",2
"309","Sounds","N.Reg.Dat.Pl.Masc","NNS","Sounds",NA,"Sounds",0,NA,"Sounds",NA,NA,NA,"Sounds",2
"310","cotreſponding","N.Reg.Dat.Sg.Neut","NN","cotresponding",NA,"cotresponding",1,"cotresponding",NA,NA,NA,NA,NA,2
"311","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",2
"312","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",2
"313","Engliſb","FM","NN","Englisb",NA,"Englisb",1,"Englisb",NA,NA,NA,NA,NA,2
"314","g","N.Reg.*.*.*","NN","g",NA,"g",0,NA,"g",NA,NA,NA,"g",2
"315",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",2
"316","andj","FM","NN","andj",NA,"andj",1,"andj",NA,NA,NA,NA,NA,2
"317",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",2
"318","for","FM","IN","for","for","for",0,NA,"for",NA,NA,NA,"for",2
"319","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",2
"320","former","FM","JJ","former","former","former",0,NA,"former",NA,NA,NA,"former",2
"321","ſound","FM","NN","sound",NA,"sound",0,NA,"sound",NA,NA,NA,"sound",2
"322","them","ADJA.Pos.Dat.Sg.Neut","PP","them",NA,"them",0,NA,"them",NA,NA,NA,"them",2
"323","gutteral","FM","JJ","gutteral",NA,"gutteral",1,"gutteral",NA,NA,NA,NA,NA,2
"324",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",2
"325","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",2
"326","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",2
"327","latter","ADJA.Pos.Dat.Sg.Fem","JJ","latter",NA,"latter",0,NA,"latter",NA,NA,NA,"latter",2
"328","ſoft","N.Reg.Dat.Sg.Fem","NN","soft","soft","soft",0,NA,"soft",NA,NA,NA,"soft",2
"329","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",2
"330","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",2
"331","Frencb","N.Name.*.*.*","NN","Frencb",NA,"Frencb",1,"Frencb",NA,NA,NA,NA,NA,2
"332","do","N.Name.*.*.*","VVP","do",NA,"do",0,NA,"do",NA,NA,NA,"do",2
"333",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"334",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"335","The","N.Name.*.*.*","DT","The",NA,"The",0,NA,"The",NA,NA,NA,"The",2
"336","aforegoing","FM","JJ","aforegoing","aforegoing","aforegoing",0,NA,"aforegoing",NA,NA,NA,"aforegoing",2
"337","twenty","FM","CD","twenty",NA,"twenty",0,NA,"twenty",NA,NA,NA,"twenty",2
"338","-","SYM.Pun.Hyph","NN","-",NA,"-",1,"-",NA,NA,NA,"-","-",2
"339","fix","ADJD.Pos","NN","fix","fix","fix",0,NA,"fix",NA,NA,NA,"fix",2
"340","Letters","FM","NP","Letters",NA,"Letters",0,NA,"Letters",NA,NA,NA,"Letters",2
"341","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",2
"342","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",2
"343","Englifh","FM","NN","Englifh","Englifh","Englifh",1,"Englifh",NA,NA,NA,NA,NA,2
"344","Alphabet","N.Reg.Nom.Sg.Neut","NN","Alphabet",NA,"Alphabet",0,NA,"Alphabet",NA,NA,NA,"Alphabet",2
"345","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",2
"346","divided","FM","VVN","divided",NA,"divided",0,NA,"divided",NA,NA,NA,"divided",2
"347","into","N.Name.*.*.*","IN","into",NA,"into",0,NA,"into",NA,NA,NA,"into",2
"348","Vowels","FM","NP","Vowels",NA,"Vowels",1,"Vowels",NA,NA,NA,NA,NA,2
"349","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",2
"350","Confonants","FM","NNS","Confonants","Confonants","Confonants",1,"Confonants",NA,NA,"Confonants",NA,"Confonants",2
"351",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"352","A","FM","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",2
"353","Powel","FM","NP","Powel",NA,"Powel",1,"Powel",NA,NA,NA,NA,NA,2
"354","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",2
"355","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",2
"356","Letter","N.Reg.Nom.Sg.Masc","NN","Letter",NA,"Letter",0,NA,"Letter",NA,NA,NA,"Letter",2
"357","which","N.Name.Nom.Sg.Masc","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",2
"358","makes","FM","VVZ","makes",NA,"makes",1,"makes",NA,NA,NA,NA,NA,2
"359","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",2
"360","perfect","FM","JJ","perfect","perfect","perfect",0,NA,"perfect",NA,NA,NA,"perfect",2
"361","Sound","FM","NN","Sound",NA,"Sound",0,NA,"Sound",NA,NA,NA,"Sound",2
"362","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",2
"363","itſelf","FM","NN","itself","itself","itself",0,NA,"itself",NA,NA,NA,"itself",2
"364",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"365","There","FM","EX","There",NA,"There",0,NA,"There",NA,NA,NA,"There",2
"366","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",2
"367","five","FM","CD","five","five","five",0,NA,"five",NA,NA,NA,"five",2
"368","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",2
"369","Number","N.Name.*.*.*","NP","Number",NA,"Number",0,NA,"Number",NA,NA,NA,"Number",2
"370",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",2
"371","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",2
"372",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",2
"373","e","FM","NP","e",NA,"e",0,NA,"e",NA,NA,NA,"e",2
"374",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",2
"375","i","PRO.Pers.Subst.1.Nom.Sg.*","NP","i",NA,"i",0,NA,"i",NA,NA,NA,"i",2
"376",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",2
"377","o","FM","NN","o",NA,"o",0,NA,"o",NA,NA,NA,"o",2
"378",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",2
"379","u","ADV","NN","u",NA,"u",0,NA,"u",NA,NA,NA,"u",2
"380",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",2
"381","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",2
"382","which","ADJD.Pos","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",2
"383","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",2
"384","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",2
"385","addedy","FM","NN","addedy",NA,"addedy",1,"addedy",NA,NA,NA,NA,NA,2
"386",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",2
"387","but","CONJ.Coord.-","CC","but",NA,"but",0,NA,"but",NA,NA,NA,"but",2
"388","this","FM","RB","this",NA,"this",0,NA,"this",NA,NA,NA,"this",2
"389","having","FM","VHG","having",NA,"having",0,NA,"having",NA,NA,NA,"having",2
"390","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",2
"391","ſame","FM","JJ","same",NA,"same",0,NA,"same",NA,NA,NA,"same",2
"392","Sound","FM","NN","Sound",NA,"Sound",0,NA,"Sound",NA,NA,NA,"Sound",2
"393","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",2
"394","i","PRO.Pers.Subst.1.Nom.Sg.*","NP","i",NA,"i",0,NA,"i",NA,NA,NA,"i",2
"395","at","FM","IN","at",NA,"at",0,NA,"at",NA,NA,NA,"at",2
"396","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",2
"397","latter","FM","JJ","latter",NA,"latter",0,NA,"latter",NA,NA,NA,"latter",2
"398","End","N.Name.*.*.*","NN","End",NA,"End",0,NA,"End",NA,NA,NA,"End",2
"399","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",2
"400","Words","FM","NNS","Words",NA,"Words",0,NA,"Words",NA,NA,NA,"Words",2
"401",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",2
"402","we","PRO.Pers.Subst.1.Nom.Pl.*","PP","we",NA,"we",0,NA,"we",NA,NA,NA,"we",2
"403","need","FM","VVP","need",NA,"need",0,NA,"need",NA,NA,NA,"need",2
"404","not","N.Reg.Acc.Sg.Fem","RB","not",NA,"not",0,NA,"not",NA,NA,NA,"not",2
"405","make","FM","VV","make",NA,"make",0,NA,"make",NA,NA,NA,"make",2
"406","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",2
"407","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",2
"408","diſtinct","FM","JJ","distinct",NA,"distinct",0,NA,"distinct",NA,NA,NA,"distinct",2
"409","Vowel","FM","NN","Vowel",NA,"Vowel",0,NA,"Vowel",NA,NA,NA,"Vowel",2
"410",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"411","A","SYM.Other.XY","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",3
"412","Complete","N.Name.Nom.Sg.Fem","JJ","Complete",NA,"Complete",0,NA,"Complete",NA,NA,NA,"Complete",3
"413","ENGi.IsH","N.Name.Nom.Sg.Fem","NP","ENGi.IsH",NA,"ENGi.IsH",1,"ENGi.IsH",NA,NA,NA,NA,NA,3
"414","GR","N.Name.Nom.Sg.*","NP","GR",NA,"GR",1,"GR",NA,NA,NA,NA,NA,3
"415","AMMAR","N.Name.Nom.Sg.Neut","NP","AMMAR",NA,"AMMAR",1,"AMMAR",NA,NA,NA,NA,NA,3
"416",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",3
"417","A","N.Reg.Nom.Sg.*","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",3
"418","Conſonant","FM","NP","Consonant",NA,"Consonant",0,NA,"Consonant",NA,NA,NA,"Consonant",3
"419","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",3
"420","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",3
"421","Letter","N.Reg.Nom.Sg.Masc","NN","Letter",NA,"Letter",0,NA,"Letter",NA,NA,NA,"Letter",3
"422","that","PRO.Dem.Subst.-.Acc.Sg.Neut","IN/that","that",NA,"that",0,NA,"that",NA,NA,NA,"that",3
"423","cahnot","FM","JJ","cahnot",NA,"cahnot",1,"cahnot",NA,NA,NA,NA,NA,3
"424","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",3
"425","ſounded","FM","VVN","sounded",NA,"sounded",0,NA,"sounded",NA,NA,NA,"sounded",3
"426","without","FM","IN","without",NA,"without",0,NA,"without",NA,NA,NA,"without",3
"427","adding","FM","VVG","adding",NA,"adding",0,NA,"adding",NA,NA,NA,"adding",3
"428","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",3
"429","Vowel","FM","NN","Vowel",NA,"Vowel",0,NA,"Vowel",NA,NA,NA,"Vowel",3
"430","either","ADJD.Comp","CC","either",NA,"either",0,NA,"either",NA,NA,NA,"either",3
"431","before","FM","IN","before","before","before",0,NA,"before",NA,NA,NA,"before",3
"432","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",3
"433","after","FM","IN","after","after","after",0,NA,"after",NA,NA,NA,"after",3
"434","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",3
"435",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"436","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",3
"437","m","N.Reg.*.*.Masc","NN","m",NA,"m",0,NA,"m",NA,NA,NA,"m",3
"438",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"439","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",3
"440","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",3
"441","ſoundedem","FM","JJ","soundedem",NA,"soundedem",1,"soundedem",NA,NA,NA,NA,NA,3
"442",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"443","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",3
"444","p","SYM.Other.XY","NN","p",NA,"p",0,NA,"p",NA,NA,NA,"p",3
"445","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",3
"446","pe","SYM.Other.XY","NN","pe",NA,"pe",0,NA,"pe",NA,NA,NA,"pe",3
"447",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",3
"448","„","ADJA.Pos.Acc.Pl.*","NN","„",NA,"„",1,"„",NA,NA,NA,NA,NA,3
"449","It","FM","PP","It",NA,"It",0,NA,"It",NA,NA,NA,"It",3
"450","comes","FM","VVZ","comes",NA,"comes",0,NA,"comes",NA,NA,NA,"comes",3
"451","from","FM","IN","from","from","from",0,NA,"from",NA,NA,NA,"from",3
"452","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",3
"453","Latin","N.Name.Dat.Sg.*","NP","Latin",NA,"Latin",0,NA,"Latin",NA,NA,NA,"Latin",3
"454","Conſonans","FM","NP","Consonans",NA,"Consonans",1,"Consonans",NA,NA,NA,NA,NA,3
"455",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"456","becauſe","FM","VVG","because",NA,"because",0,NA,"because",NA,NA,NA,"because",3
"457","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",3
"458","conſones","FM","NNS","consones",NA,"consones",1,"consones",NA,NA,"consones",NA,"consones",3
"459",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"460","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",3
"461","ſounds","FM","NNS","sounds",NA,"sounds",0,NA,"sounds",NA,NA,NA,"sounds",3
"462","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",3
"463","another","ADJA.Pos.Nom.Sg.Masc","DT","another",NA,"another",0,NA,"another",NA,NA,NA,"another",3
"464","Letter","N.Reg.Nom.Sg.Masc","NN","Letter",NA,"Letter",0,NA,"Letter",NA,NA,NA,"Letter",3
"465",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",3
"466",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",3
"467",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",3
"468","i","PRO.Pers.Subst.1.Nom.Sg.*","NP","i",NA,"i",0,NA,"i",NA,NA,NA,"i",3
"469","A","FM","NP","A",NA,"A",0,NA,"A",NA,NA,NA,"A",3
"470","Syllable","FM","NN","Syllable",NA,"Syllable",0,NA,"Syllable",NA,NA,NA,"Syllable",3
"471","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",3
"472","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",3
"473","perfec","FM","NN","perfec","perfec","perfec",1,"perfec",NA,NA,NA,NA,NA,3
"474","Sound","FM","NN","Sound",NA,"Sound",0,NA,"Sound",NA,NA,NA,"Sound",3
"475","made","FM","VVN","made",NA,"made",0,NA,"made",NA,NA,NA,"made",3
"476","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",3
"477","one","FM","CD","one",NA,"one",0,NA,"one",NA,NA,NA,"one",3
"478","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",3
"479","more","FM","JJR","more",NA,"more",0,NA,"more",NA,NA,NA,"more",3
"480","Letters","FM","NP","Letters",NA,"Letters",0,NA,"Letters",NA,NA,NA,"Letters",3
"481",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"482","expreffed","FM","VVN","expreffed","expreffed","expreffed",1,"expreffed",NA,NA,NA,NA,NA,3
"483","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",3
"484","one","FM","CD","one",NA,"one",0,NA,"one",NA,NA,NA,"one",3
"485","Breath","FM","NN","Breath",NA,"Breath",0,NA,"Breath",NA,NA,NA,"Breath",3
"486",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"487","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",3
"488",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"489","Ca","FM","JJ","Ca",NA,"Ca",0,NA,"Ca",NA,NA,NA,"Ca",3
"490","-","SYM.Pun.Hyph","NN","-",NA,"-",1,"-",NA,NA,NA,"-","-",3
"491","larmi","FM","NN","larmi",NA,"larmi",1,"larmi",NA,NA,NA,NA,NA,3
"492","-","SYM.Pun.Hyph","NN","-",NA,"-",1,"-",NA,NA,NA,"-","-",3
"493","ty","FM","NNS","ty",NA,"ty",1,"ty",NA,NA,"ty",NA,"ty",3
"494",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",3
"495","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",3
"496","four","FM","CD","four","four","four",0,NA,"four",NA,NA,NA,"four",3
"497","diſtinct","FM","JJ","distinct",NA,"distinct",0,NA,"distinct",NA,NA,NA,"distinct",3
"498","Syllables","FM","NNS","Syllables",NA,"Syllables",0,NA,"Syllables",NA,NA,NA,"Syllables",3
"499",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",3
"500","eirnszurhn","CARD","NP","eirnszurhn",NA,"eirnszurhn",1,"eirnszurhn",NA,NA,NA,NA,NA,3
"501","i","PRO.Pers.Subst.1.Nom.Sg.*","NP","i",NA,"i",0,NA,"i",NA,NA,NA,"i",3
"502","The","FM","DT","The",NA,"The",0,NA,"The",NA,NA,NA,"The",3
"503","Quantity","FM","NN","Quantity",NA,"Quantity",0,NA,"Quantity",NA,NA,NA,"Quantity",3
"504","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",3
"505","Lirrzns","FM","NP","Lirrzns",NA,"Lirrzns",1,"Lirrzns",NA,NA,NA,NA,NA,3
"506","required","FM","VVD","required",NA,"required",0,NA,"required",NA,NA,NA,"required",3
"507","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",3
"508","form","VIMP.Full.2.Sg","VV","form","form","form",0,NA,"form",NA,NA,NA,"form",3
"509","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",3
"510","Syllable","FM","NN","Syllable",NA,"Syllable",0,NA,"Syllable",NA,NA,NA,"Syllable",3
"511","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",3
"512","generally","FM","RB","generally",NA,"generally",0,NA,"generally",NA,NA,NA,"generally",3
"513","any","FM","DT","any",NA,"any",0,NA,"any",NA,NA,NA,"any",3
"514","Number","N.Name.*.*.*","NP","Number",NA,"Number",0,NA,"Number",NA,NA,NA,"Number",3
"515","under","N.Name.*.*.*","IN","under",NA,"under",0,NA,"under",NA,NA,NA,"under",3
"516","ten","FM","CD","ten",NA,"ten",0,NA,"ten",NA,NA,NA,"ten",3
"517",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"518","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",3
"519","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",3
"520","theſe","N.Reg.Dat.Sg.Fem","JJ","these",NA,"these",0,NA,"these",NA,NA,NA,"these",3
"521","Words","FM","NNS","Words",NA,"Words",0,NA,"Words",NA,NA,NA,"Words",3
"522",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"523","I","FM","NP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",3
"524",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"525","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",3
"526",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"527","/","SYM.Pun.Slash","SYM","/",NA,"/",1,"/",NA,NA,NA,"/","/",3
"528","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",3
"529",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"530","that","PRO.Dem.Subst.-.Nom.Sg.Neut","IN/that","that",NA,"that",0,NA,"that",NA,NA,NA,"that",3
"531",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"532","zhing","ADJD.Pos","NN","zhing",NA,"zhing",1,"zhing",NA,NA,NA,NA,NA,3
"533",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"534","tbougb","ADJD.Pos","NN","tbougb",NA,"tbougb",1,"tbougb",NA,NA,NA,NA,NA,3
"535",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"536","thougbt","ADJD.Pos","NN","thougbt",NA,"thougbt",1,"thougbt",NA,NA,NA,NA,NA,3
"537",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"538","thoughts","FM","NNS","thoughts",NA,"thoughts",1,"thoughts",NA,NA,"thoughts",NA,"thoughts",3
"539",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",3
"540","ſtraights","FM","NNS","straights",NA,"straights",1,"straights",NA,NA,"straights",NA,"straights",3
"541",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",3
"542",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",3
"543",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",3
"544","iit","N.Name.Nom.Sg.*","NN","iit",NA,"iit",1,"iit",NA,NA,NA,NA,NA,3
"545","stmei.l","FM","NN","stmei.l",NA,"stmei.l",1,"stmei.l",NA,NA,NA,NA,NA,3
"546","eiss","FM","NP","eiss",NA,"eiss",1,"eiss",NA,NA,NA,NA,NA,3
"547","ii","FM","NP","ii",NA,"ii",1,"ii",NA,NA,NA,NA,NA,3
"548","fo","FM","NP","fo","fo","fo",1,"fo",NA,NA,NA,NA,NA,3
"549","unav","ADJD.Pos","NP","unav",NA,"unav",1,"unav",NA,NA,NA,NA,NA,3
"550",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",3
"551","The","FM","DT","The",NA,"The",0,NA,"The",NA,NA,NA,"The",3
"552","Quantity","FM","NN","Quantity",NA,"Quantity",0,NA,"Quantity",NA,NA,NA,"Quantity",3
"553","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",3
"554","SvL.LAnLEs","FM","NP","SvL.LAnLEs",NA,"SvL.LAnLEs",1,"SvL.LAnLEs",NA,NA,NA,NA,NA,3
"555","required","FM","VVD","required",NA,"required",0,NA,"required",NA,NA,NA,"required",3
"556","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",3
"557","form","VIMP.Full.2.Sg","VV","form","form","form",0,NA,"form",NA,NA,NA,"form",3
"558","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",3
"559","Word","FM","NP","Word",NA,"Word",0,NA,"Word",NA,NA,NA,"Word",3
"560","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",3
"561","ſeven","N.Reg.Nom.Pl.Fem","JJ","seven",NA,"seven",0,NA,"seven",NA,NA,NA,"seven",3
"562","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",3
"563","eight","FM","CD","eight",NA,"eight",0,NA,"eight",NA,NA,NA,"eight",3
"564","at","FM","IN","at",NA,"at",0,NA,"at",NA,NA,NA,"at",3
"565","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",3
